ctgov,cause,dist,parameter,est,se
NCT02172287,Voluntary Withdrawal,gompertz,rate,-7.220e+00,3.214e-01
NCT02172586,Voluntary Withdrawal,gompertz,shape,-9.109e-03,5.711e-03
NCT02172586,Voluntary Withdrawal,gompertz,rate,-7.654e+00,4.476e-01
NCT02175355,Adverse Event,gompertz,shape,-2.202e-02,1.787e-02
NCT02175355,Adverse Event,gompertz,rate,-7.139e+00,3.798e-01
NCT02175355,Protocol Violation,gompertz,shape,4.066e-02,1.600e-02
NCT02175355,Protocol Violation,gompertz,rate,-8.293e+00,4.700e-01
NCT02177344,Adverse Event,gompertz,shape,-2.226e-02,5.138e-03
NCT02177344,Adverse Event,gompertz,rate,-6.787e+00,2.721e-01
NCT02177344,Other/Miscellaneous,gompertz,shape,-2.497e-02,6.384e-03
NCT02177344,Other/Miscellaneous,gompertz,rate,-6.995e+00,3.137e-01
NCT02177344,Voluntary Withdrawal,gompertz,shape,-3.226e-02,8.140e-03
NCT02177344,Voluntary Withdrawal,gompertz,rate,-6.906e+00,3.301e-01
NCT02177396,Adverse Event,gompertz,shape,-2.868e-02,1.900e-02
NCT02177396,Adverse Event,gompertz,rate,-6.863e+00,4.836e-01
NCT02177396,Lack of Efficacy,gompertz,shape,7.836e-03,1.911e-02
NCT02177396,Lack of Efficacy,gompertz,rate,-7.959e+00,6.530e-01
NCT02177461,Adverse Event,gompertz,shape,-8.634e-03,5.381e-03
NCT02177461,Adverse Event,gompertz,rate,-7.518e+00,4.134e-01
NCT02177461,Lack of Efficacy,gompertz,shape,5.596e-03,3.478e-03
NCT02177461,Lack of Efficacy,gompertz,rate,-7.939e+00,3.792e-01
NCT02177461,Protocol Violation,gompertz,shape,-1.014e-02,6.370e-03
NCT02177461,Protocol Violation,gompertz,rate,-7.716e+00,4.689e-01
NCT02177461,Voluntary Withdrawal,gompertz,shape,-7.167e-03,3.330e-03
NCT02177461,Voluntary Withdrawal,gompertz,rate,-6.693e+00,2.665e-01
NCT02183064,Adverse Event,gompertz,shape,-1.959e-02,4.049e-03
NCT02183064,Adverse Event,gompertz,rate,-7.345e+00,2.405e-01
NCT02183064,Other/Miscellaneous,gompertz,shape,-7.544e-03,4.830e-03
NCT02183064,Other/Miscellaneous,gompertz,rate,-8.846e+00,4.122e-01
NCT02183064,Voluntary Withdrawal,gompertz,shape,-1.573e-02,3.802e-03
NCT02183064,Voluntary Withdrawal,gompertz,rate,-7.581e+00,2.541e-01
NCT02200653,Adverse Event,gompertz,shape,-1.659e-02,1.773e-02
NCT02200653,Adverse Event,gompertz,rate,-7.059e+00,5.142e-01
NCT02240680,Adverse Event,gompertz,shape,-7.448e-03,4.232e-03
NCT02240680,Adverse Event,gompertz,rate,-7.845e+00,4.487e-01
NCT02489968,Adverse Event,gompertz,shape,-4.924e-03,2.813e-03
NCT02489968,Adverse Event,gompertz,rate,-8.209e+00,3.863e-01
NCT02750410,Adverse Event,gompertz,shape,-2.910e-03,2.843e-03
NCT02750410,Adverse Event,gompertz,rate,-7.944e+00,5.068e-01
NCT00034840,Lack of Efficacy,llogis,shape,7.124e-01,2.817e-01
NCT00034840,Lack of Efficacy,llogis,scale,5.838e+00,5.266e-01
NCT00051558,Adverse Event,llogis,shape,-3.851e-01,1.341e-01
NCT00051558,Adverse Event,llogis,scale,9.744e+00,4.655e-01
NCT00051558,Lost to Follow-up,llogis,shape,-2.316e-01,2.407e-01
NCT00051558,Lost to Follow-up,llogis,scale,1.086e+01,1.032e+00
NCT00051558,Other/Miscellaneous,llogis,shape,-2.855e-01,1.640e-01
NCT00051558,Other/Miscellaneous,llogis,scale,1.003e+01,5.908e-01
NCT00051558,PI/Sponsor Decision,llogis,shape,1.668e-01,2.656e-01
NCT00051558,PI/Sponsor Decision,llogis,scale,9.730e+00,7.993e-01
NCT00051558,Voluntary Withdrawal,llogis,shape,8.253e-03,1.089e-01
NCT00051558,Voluntary Withdrawal,llogis,scale,8.387e+00,2.187e-01
NCT00125918,Adverse Event,llogis,shape,1.268e-01,1.422e-01
NCT00125918,Adverse Event,llogis,scale,6.519e+00,2.981e-01
NCT00152984,Adverse Event,llogis,shape,-1.118e-01,2.861e-01
NCT00152984,Adverse Event,llogis,scale,8.528e+00,1.214e+00
NCT00153023,Adverse Event,llogis,shape,-2.959e-01,1.020e-01
NCT00153023,Adverse Event,llogis,scale,8.765e+00,3.405e-01
NCT00153023,Other/Miscellaneous,llogis,shape,-7.711e-01,2.076e-01
NCT00153023,Other/Miscellaneous,llogis,scale,1.365e+01,1.705e+00
NCT00153023,Protocol Violation,llogis,shape,-3.826e-01,2.424e-01
NCT00153023,Protocol Violation,llogis,scale,1.160e+01,1.453e+00
NCT00153023,Voluntary Withdrawal,llogis,shape,-6.941e-01,1.804e-01
NCT00153023,Voluntary Withdrawal,llogis,scale,1.251e+01,1.275e+00
NCT00153088,Adverse Event,llogis,shape,-2.528e-01,1.257e-01
NCT00153088,Adverse Event,llogis,scale,8.931e+00,3.914e-01
NCT00153088,Voluntary Withdrawal,llogis,shape,4.743e-02,2.704e-01
NCT00153088,Voluntary Withdrawal,llogis,scale,9.766e+00,9.901e-01
NCT00168831,Adverse Event,llogis,shape,-3.869e-01,7.530e-02
NCT00168831,Adverse Event,llogis,scale,8.205e+00,2.325e-01
NCT00168831,Lost to Follow-up,llogis,shape,-9.115e-02,2.555e-01
NCT00168831,Lost to Follow-up,llogis,scale,1.031e+01,1.204e+00
NCT00168831,Other/Miscellaneous,llogis,shape,-2.396e-01,2.471e-01
NCT00168831,Other/Miscellaneous,llogis,scale,1.095e+01,1.333e+00
NCT00168831,Protocol Violation,llogis,shape,-6.756e-01,1.822e-01
NCT00168831,Protocol Violation,llogis,scale,1.258e+01,1.316e+00
NCT00168831,Voluntary Withdrawal,llogis,shape,-5.148e-01,1.517e-01
NCT00168831,Voluntary Withdrawal,llogis,scale,1.095e+01,8.442e-01
NCT00168844,Adverse Event,llogis,shape,-2.732e-01,9.059e-02
NCT00168844,Adverse Event,llogis,scale,8.442e+00,2.819e-01
NCT00168844,Lost to Follow-up,llogis,shape,-4.779e-01,2.167e-01
NCT00168844,Lost to Follow-up,llogis,scale,1.191e+01,1.389e+00
NCT00168844,Other/Miscellaneous,llogis,shape,-2.980e-01,2.107e-01
NCT00168844,Other/Miscellaneous,llogis,scale,1.082e+01,1.112e+00
NCT00168844,Voluntary Withdrawal,llogis,shape,-7.636e-01,1.596e-01
NCT00168844,Voluntary Withdrawal,llogis,scale,1.261e+01,1.164e+00
NCT00168857,Adverse Event,llogis,shape,-8.445e-03,9.830e-02
NCT00168857,Adverse Event,llogis,scale,7.939e+00,2.363e-01
NCT00168857,Lost to Follow-up,llogis,shape,-3.827e-01,2.812e-01
NCT00168857,Lost to Follow-up,llogis,scale,1.201e+01,1.792e+00
NCT00168857,Other/Miscellaneous,llogis,shape,-1.002e+00,2.314e-01
NCT00168857,Other/Miscellaneous,llogis,scale,1.620e+01,2.505e+00
NCT00168857,Protocol Violation,llogis,shape,9.542e-04,1.827e-01
NCT00168857,Protocol Violation,llogis,scale,9.183e+00,6.405e-01
NCT00168857,Voluntary Withdrawal,llogis,shape,-3.532e-01,2.431e-01
NCT00168857,Voluntary Withdrawal,llogis,scale,1.141e+01,1.407e+00
NCT00239421,Adverse Event,llogis,shape,1.129e-01,2.634e-01
NCT00239421,Adverse Event,llogis,scale,7.120e+00,9.134e-01
NCT00274014,Adverse Event,llogis,shape,-2.967e-01,9.057e-02
NCT00274014,Adverse Event,llogis,scale,8.546e+00,2.924e-01
NCT00274014,Lost to Follow-up,llogis,shape,-8.225e-02,1.690e-01
NCT00274014,Lost to Follow-up,llogis,scale,9.397e+00,6.464e-01
NCT00274014,Other/Miscellaneous,llogis,shape,3.139e-02,1.528e-01
NCT00274014,Other/Miscellaneous,llogis,scale,8.813e+00,4.926e-01
NCT00274014,Protocol Violation,llogis,shape,-2.485e-01,1.920e-01
NCT00274014,Protocol Violation,llogis,scale,1.038e+01,9.279e-01
NCT00274014,Voluntary Withdrawal,llogis,shape,-2.562e-01,1.411e-01
NCT00274014,Voluntary Withdrawal,llogis,scale,9.610e+00,5.820e-01
NCT00274053,Adverse Event,llogis,shape,-1.514e-01,1.443e-01
NCT00274053,Adverse Event,llogis,scale,8.334e+00,4.500e-01
NCT00274053,Other/Miscellaneous,llogis,shape,-2.340e-01,2.580e-01
NCT00274053,Other/Miscellaneous,llogis,scale,1.006e+01,1.226e+00
NCT00274053,Protocol Violation,llogis,shape,-1.395e-01,2.099e-01
NCT00274053,Protocol Violation,llogis,scale,9.180e+00,8.124e-01
NCT00274053,Voluntary Withdrawal,llogis,shape,-3.735e-01,1.933e-01
NCT00274053,Voluntary Withdrawal,llogis,scale,9.889e+00,9.031e-01
NCT00274079,Adverse Event,llogis,shape,-2.043e-01,1.687e-01
NCT00274079,Adverse Event,llogis,scale,7.302e+00,5.493e-01
NCT00274547,Adverse Event,llogis,shape,-3.221e-01,5.970e-02
NCT00274547,Adverse Event,llogis,scale,7.644e+00,1.810e-01
NCT00274547,Lost to Follow-up,llogis,shape,5.154e-01,3.036e-01
NCT00274547,Lost to Follow-up,llogis,scale,8.211e+00,9.413e-01
NCT00274547,Other/Miscellaneous,llogis,shape,-6.252e-01,1.987e-01
NCT00274547,Other/Miscellaneous,llogis,scale,1.309e+01,1.638e+00
NCT00274547,Protocol Violation,llogis,shape,-2.035e-01,1.608e-01
NCT00274547,Protocol Violation,llogis,scale,9.847e+00,7.880e-01
NCT00274547,Voluntary Withdrawal,llogis,shape,-2.271e-01,1.223e-01
NCT00274547,Voluntary Withdrawal,llogis,scale,9.265e+00,5.338e-01
NCT00274560,Adverse Event,llogis,shape,-3.152e-01,1.439e-01
NCT00274560,Adverse Event,llogis,scale,7.950e+00,5.550e-01
NCT00274560,Voluntary Withdrawal,llogis,shape,1.175e-01,2.830e-01
NCT00274560,Voluntary Withdrawal,llogis,scale,7.927e+00,1.027e+00
NCT00274573,Adverse Event,llogis,shape,-3.996e-01,6.699e-02
NCT00274573,Adverse Event,llogis,scale,7.258e+00,2.287e-01
NCT00274573,Other/Miscellaneous,llogis,shape,-2.149e-01,1.739e-01
NCT00274573,Other/Miscellaneous,llogis,scale,9.186e+00,8.691e-01
NCT00274573,Protocol Violation,llogis,shape,6.849e-02,2.274e-01
NCT00274573,Protocol Violation,llogis,scale,8.509e+00,9.643e-01
NCT00274573,Voluntary Withdrawal,llogis,shape,-1.072e-01,1.826e-01
NCT00274573,Voluntary Withdrawal,llogis,scale,8.806e+00,8.380e-01
NCT00274599,Adverse Event,llogis,shape,-1.928e-01,1.678e-01
NCT00274599,Adverse Event,llogis,scale,8.343e+00,6.723e-01
NCT00274599,Lack of Efficacy,llogis,shape,2.443e-01,2.825e-01
NCT00274599,Lack of Efficacy,llogis,scale,7.835e+00,9.496e-01
NCT00274599,Lost to Follow-up,llogis,shape,-3.169e-01,3.113e-01
NCT00274599,Lost to Follow-up,llogis,scale,1.055e+01,1.918e+00
NCT00274599,Other/Miscellaneous,llogis,shape,-8.502e-01,3.128e-01
NCT00274599,Other/Miscellaneous,llogis,scale,1.478e+01,3.292e+00
NCT00274599,Voluntary Withdrawal,llogis,shape,1.455e-01,2.308e-01
NCT00274599,Voluntary Withdrawal,llogis,scale,7.821e+00,7.790e-01
NCT00274612,Adverse Event,llogis,shape,-1.771e-01,1.636e-01
NCT00274612,Adverse Event,llogis,scale,8.228e+00,6.329e-01
NCT00274612,Lack of Efficacy,llogis,shape,1.047e-01,3.112e-01
NCT00274612,Lack of Efficacy,llogis,scale,8.503e+00,1.253e+00
NCT00274612,Other/Miscellaneous,llogis,shape,1.881e-01,2.375e-01
NCT00274612,Other/Miscellaneous,llogis,scale,7.745e+00,7.773e-01
NCT00277264,Adverse Event,llogis,shape,-5.754e-01,9.010e-02
NCT00277264,Adverse Event,llogis,scale,9.186e+00,3.701e-01
NCT00277264,Other/Miscellaneous,llogis,shape,-3.533e-01,2.659e-01
NCT00277264,Other/Miscellaneous,llogis,scale,1.164e+01,1.627e+00
NCT00277264,Protocol Violation,llogis,shape,-3.603e-01,2.563e-01
NCT00277264,Protocol Violation,llogis,scale,1.157e+01,1.554e+00
NCT00277264,Voluntary Withdrawal,llogis,shape,-4.296e-01,1.130e-01
NCT00277264,Voluntary Withdrawal,llogis,scale,9.437e+00,4.682e-01
NCT00321854,Adverse Event,llogis,shape,-9.761e-02,1.023e-01
NCT00321854,Adverse Event,llogis,scale,7.749e+00,2.361e-01
NCT00321854,Lack of Efficacy,llogis,shape,1.087e-01,1.967e-01
NCT00321854,Lack of Efficacy,llogis,scale,8.629e+00,5.684e-01
NCT00321854,Protocol Violation,llogis,shape,-7.627e-02,2.868e-01
NCT00321854,Protocol Violation,llogis,scale,9.992e+00,1.220e+00
NCT00321854,Voluntary Withdrawal,llogis,shape,-3.634e-01,1.996e-01
NCT00321854,Voluntary Withdrawal,llogis,scale,1.027e+01,9.353e-01
NCT00384930,Adverse Event,llogis,shape,-2.482e-02,1.431e-01
NCT00384930,Adverse Event,llogis,scale,7.578e+00,4.778e-01
NCT00384930,Other/Miscellaneous,llogis,shape,-4.169e-01,1.961e-01
NCT00384930,Other/Miscellaneous,llogis,scale,1.003e+01,1.146e+00
NCT00384930,PI/Sponsor Decision,llogis,shape,5.715e-01,2.561e-01
NCT00384930,PI/Sponsor Decision,llogis,scale,6.854e+00,6.316e-01
NCT00384930,Protocol Violation,llogis,shape,1.823e-02,2.936e-01
NCT00384930,Protocol Violation,llogis,scale,8.869e+00,1.336e+00
NCT00384930,Voluntary Withdrawal,llogis,shape,-2.330e-02,1.576e-01
NCT00384930,Voluntary Withdrawal,llogis,scale,7.773e+00,5.547e-01
NCT00402233,Adverse Event,llogis,shape,-1.225e-01,1.890e-01
NCT00402233,Adverse Event,llogis,scale,7.095e+00,5.674e-01
NCT00466167,Adverse Event,llogis,shape,-5.474e-01,1.870e-01
NCT00466167,Adverse Event,llogis,scale,1.030e+01,9.998e-01
NCT00466167,Voluntary Withdrawal,llogis,shape,-2.659e-01,2.284e-01
NCT00466167,Voluntary Withdrawal,llogis,scale,9.622e+00,1.032e+00
NCT00472199,Adverse Event,llogis,shape,-5.176e-01,1.450e-01
NCT00472199,Adverse Event,llogis,scale,8.215e+00,5.519e-01
NCT00472199,Lack of Efficacy,llogis,shape,-2.738e-01,1.732e-01
NCT00472199,Lack of Efficacy,llogis,scale,8.039e+00,5.856e-01
NCT00472199,Voluntary Withdrawal,llogis,shape,-4.219e-01,2.853e-01
NCT00472199,Voluntary Withdrawal,llogis,scale,1.006e+01,1.512e+00
NCT00479401,Adverse Event,llogis,shape,-4.933e-01,1.389e-01
NCT00479401,Adverse Event,llogis,scale,9.156e+00,5.891e-01
NCT00479401,Voluntary Withdrawal,llogis,shape,-3.481e-01,1.858e-01
NCT00479401,Voluntary Withdrawal,llogis,scale,9.492e+00,8.191e-01
NCT00525512,Adverse Event,llogis,shape,-1.309e-01,1.070e-01
NCT00525512,Adverse Event,llogis,scale,8.365e+00,2.590e-01
NCT00525512,Lack of Efficacy,llogis,shape,-4.317e-01,2.235e-01
NCT00525512,Lack of Efficacy,llogis,scale,1.137e+01,1.183e+00
NCT00525512,Other/Miscellaneous,llogis,shape,-5.903e-01,1.901e-01
NCT00525512,Other/Miscellaneous,llogis,scale,1.162e+01,1.078e+00
NCT00525512,Voluntary Withdrawal,llogis,shape,-6.868e-01,1.805e-01
NCT00525512,Voluntary Withdrawal,llogis,scale,1.194e+01,1.091e+00
NCT00563381,Adverse Event,llogis,shape,-3.296e-01,4.089e-02
NCT00563381,Adverse Event,llogis,scale,9.285e+00,1.557e-01
NCT00563381,Lack of Efficacy,llogis,shape,-3.269e-01,1.298e-01
NCT00563381,Lack of Efficacy,llogis,scale,1.251e+01,8.886e-01
NCT00563381,Lost to Follow-up,llogis,shape,-2.608e-01,2.073e-01
NCT00563381,Lost to Follow-up,llogis,scale,1.330e+01,1.574e+00
NCT00563381,Other/Miscellaneous,llogis,shape,-3.507e-01,1.278e-01
NCT00563381,Other/Miscellaneous,llogis,scale,1.262e+01,8.897e-01
NCT00563381,Protocol Violation,llogis,shape,-5.549e-01,8.265e-02
NCT00563381,Protocol Violation,llogis,scale,1.263e+01,5.846e-01
NCT00563381,Voluntary Withdrawal,llogis,shape,-5.390e-01,4.841e-02
NCT00563381,Voluntary Withdrawal,llogis,scale,1.067e+01,2.531e-01
NCT00601250,Adverse Event,llogis,shape,-1.656e-01,2.977e-01
NCT00601250,Adverse Event,llogis,scale,9.995e+00,1.494e+00
NCT00601250,Other/Miscellaneous,llogis,shape,3.994e-01,3.116e-01
NCT00601250,Other/Miscellaneous,llogis,scale,7.962e+00,9.056e-01
NCT00601250,Voluntary Withdrawal,llogis,shape,-2.108e-01,2.392e-01
NCT00601250,Voluntary Withdrawal,llogis,scale,9.676e+00,1.132e+00
NCT00602472,Adverse Event,llogis,shape,-2.881e-01,1.868e-01
NCT00602472,Adverse Event,llogis,scale,9.921e+00,9.347e-01
NCT00602472,Protocol Violation,llogis,shape,-1.258e-02,2.105e-01
NCT00602472,Protocol Violation,llogis,scale,9.012e+00,8.483e-01
NCT00602472,Voluntary Withdrawal,llogis,shape,1.441e-01,2.149e-01
NCT00602472,Voluntary Withdrawal,llogis,scale,8.488e+00,7.483e-01
NCT00622284,Adverse Event,llogis,shape,-4.842e-01,7.771e-02
NCT00622284,Adverse Event,llogis,scale,1.008e+01,3.160e-01
NCT00622284,Lack of Efficacy,llogis,shape,1.258e-01,1.234e-01
NCT00622284,Lack of Efficacy,llogis,scale,9.297e+00,3.613e-01
NCT00622284,Lost to Follow-up,llogis,shape,-1.593e-01,2.050e-01
NCT00622284,Lost to Follow-up,llogis,scale,1.140e+01,1.035e+00
NCT00622284,Other/Miscellaneous,llogis,shape,-2.303e-01,1.271e-01
NCT00622284,Other/Miscellaneous,llogis,scale,1.055e+01,5.430e-01
NCT00622284,Protocol Violation,llogis,shape,-2.447e-01,2.337e-01
NCT00622284,Protocol Violation,llogis,scale,1.217e+01,1.361e+00
NCT00622284,Voluntary Withdrawal,llogis,shape,-5.364e-01,1.368e-01
NCT00622284,Voluntary Withdrawal,llogis,scale,1.223e+01,8.274e-01
NCT00641043,Adverse Event,llogis,shape,-6.695e-01,3.121e-01
NCT00641043,Adverse Event,llogis,scale,1.218e+01,2.305e+00
NCT00654381,Adverse Event,llogis,shape,1.190e+00,2.144e-01
NCT00654381,Adverse Event,llogis,scale,6.851e+00,2.187e-01
NCT00734474,Adverse Event,llogis,shape,-2.003e-02,6.075e-02
NCT00734474,Adverse Event,llogis,scale,7.790e+00,1.150e-01
NCT00734474,Lack of Efficacy,llogis,shape,-3.952e-01,2.536e-01
NCT00734474,Lack of Efficacy,llogis,scale,1.274e+01,1.657e+00
NCT00734474,Lost to Follow-up,llogis,shape,-1.048e-01,1.713e-01
NCT00734474,Lost to Follow-up,llogis,scale,1.029e+01,6.921e-01
NCT00734474,Other/Miscellaneous,llogis,shape,-3.173e-01,2.530e-01
NCT00734474,Other/Miscellaneous,llogis,scale,1.226e+01,1.527e+00
NCT00734474,PI/Sponsor Decision,llogis,shape,-3.606e-01,1.598e-01
NCT00734474,PI/Sponsor Decision,llogis,scale,1.119e+01,8.062e-01
NCT00734474,Protocol Violation,llogis,shape,3.105e-01,2.810e-01
NCT00734474,Protocol Violation,llogis,scale,9.736e+00,9.373e-01
NCT00734474,Voluntary Withdrawal,llogis,shape,-2.772e-01,9.419e-02
NCT00734474,Voluntary Withdrawal,llogis,scale,9.390e+00,3.169e-01
NCT00740051,Lost to Follow-up,llogis,shape,6.891e-02,2.889e-01
NCT00740051,Lost to Follow-up,llogis,scale,8.573e+00,8.460e-01
NCT00740051,Voluntary Withdrawal,llogis,shape,-3.684e-01,2.584e-01
NCT00740051,Voluntary Withdrawal,llogis,scale,9.722e+00,1.096e+00
NCT00772538,Adverse Event,llogis,shape,-3.242e-01,2.838e-01
NCT00772538,Adverse Event,llogis,scale,1.077e+01,1.472e+00
NCT00772538,Other/Miscellaneous,llogis,shape,-7.060e-01,2.632e-01
NCT00772538,Other/Miscellaneous,llogis,scale,1.277e+01,1.926e+00
NCT00772538,Voluntary Withdrawal,llogis,shape,-2.661e-01,2.962e-01
NCT00772538,Voluntary Withdrawal,llogis,scale,1.060e+01,1.481e+00
NCT00776984,Adverse Event,llogis,shape,1.360e-01,3.099e-01
NCT00776984,Adverse Event,llogis,scale,9.087e+00,1.059e+00
NCT00776984,Other/Miscellaneous,llogis,shape,-4.303e-03,2.622e-01
NCT00776984,Other/Miscellaneous,llogis,scale,9.241e+00,9.465e-01
NCT00776984,Voluntary Withdrawal,llogis,shape,9.041e-02,2.244e-01
NCT00776984,Voluntary Withdrawal,llogis,scale,8.643e+00,6.765e-01
NCT00782210,Adverse Event,llogis,shape,-2.038e-01,1.308e-01
NCT00782210,Adverse Event,llogis,scale,8.624e+00,4.177e-01
NCT00782210,Lack of Efficacy,llogis,shape,-5.171e-01,2.290e-01
NCT00782210,Lack of Efficacy,llogis,scale,1.158e+01,1.401e+00
NCT00782210,Voluntary Withdrawal,llogis,shape,-5.485e-01,1.771e-01
NCT00782210,Voluntary Withdrawal,llogis,scale,1.086e+01,9.693e-01
NCT00782509,Adverse Event,llogis,shape,-3.086e-01,1.368e-01
NCT00782509,Adverse Event,llogis,scale,9.116e+00,5.053e-01
NCT00782509,Lack of Efficacy,llogis,shape,-1.664e-01,2.358e-01
NCT00782509,Lack of Efficacy,llogis,scale,9.979e+00,1.036e+00
NCT00782509,Other/Miscellaneous,llogis,shape,-9.259e-01,3.108e-01
NCT00782509,Other/Miscellaneous,llogis,scale,1.614e+01,3.343e+00
NCT00782509,Voluntary Withdrawal,llogis,shape,-2.838e-01,2.513e-01
NCT00782509,Voluntary Withdrawal,llogis,scale,1.067e+01,1.284e+00
NCT00793624,Adverse Event,llogis,shape,-4.530e-01,1.187e-01
NCT00793624,Adverse Event,llogis,scale,9.697e+00,5.169e-01
NCT00793624,Lack of Efficacy,llogis,shape,-7.059e-01,2.518e-01
NCT00793624,Lack of Efficacy,llogis,scale,1.391e+01,2.136e+00
NCT00793624,Other/Miscellaneous,llogis,shape,4.984e-01,2.339e-01
NCT00793624,Other/Miscellaneous,llogis,scale,8.127e+00,5.675e-01
NCT00793624,Protocol Violation,llogis,shape,-6.174e-01,3.083e-01
NCT00793624,Protocol Violation,llogis,scale,1.397e+01,2.616e+00
NCT00793624,Voluntary Withdrawal,llogis,shape,-3.574e-01,1.324e-01
NCT00793624,Voluntary Withdrawal,llogis,scale,9.658e+00,5.616e-01
NCT00798161,Adverse Event,llogis,shape,-4.841e-01,1.921e-01
NCT00798161,Adverse Event,llogis,scale,1.055e+01,1.102e+00
NCT00798161,Lack of Efficacy,llogis,shape,2.813e-01,2.364e-01
NCT00798161,Lack of Efficacy,llogis,scale,7.964e+00,6.987e-01
NCT00798161,Lost to Follow-up,llogis,shape,4.134e-01,2.605e-01
NCT00798161,Lost to Follow-up,llogis,scale,7.741e+00,7.061e-01
NCT00798161,Protocol Violation,llogis,shape,-4.330e-01,2.622e-01
NCT00798161,Protocol Violation,llogis,scale,1.125e+01,1.670e+00
NCT00798161,Voluntary Withdrawal,llogis,shape,-3.361e-01,2.136e-01
NCT00798161,Voluntary Withdrawal,llogis,scale,1.010e+01,1.117e+00
NCT00800683,Adverse Event,llogis,shape,-1.386e-01,2.160e-01
NCT00800683,Adverse Event,llogis,scale,7.827e+00,5.327e-01
NCT00848081,Adverse Event,llogis,shape,-1.730e-01,2.828e-01
NCT00848081,Adverse Event,llogis,scale,8.243e+00,1.146e+00
NCT00855582,Adverse Event,llogis,shape,-4.249e-01,2.962e-01
NCT00855582,Adverse Event,llogis,scale,1.048e+01,1.864e+00
NCT00855582,Lack of Efficacy,llogis,shape,7.774e-02,2.812e-01
NCT00855582,Lack of Efficacy,llogis,scale,7.999e+00,1.044e+00
NCT00855582,Other/Miscellaneous,llogis,shape,-1.523e-02,2.437e-01
NCT00855582,Other/Miscellaneous,llogis,scale,8.053e+00,9.255e-01
NCT00855582,Protocol Violation,llogis,shape,1.398e-01,2.811e-01
NCT00855582,Protocol Violation,llogis,scale,7.784e+00,9.803e-01
NCT00855582,Voluntary Withdrawal,llogis,shape,-1.320e-01,2.442e-01
NCT00855582,Voluntary Withdrawal,llogis,scale,8.503e+00,1.043e+00
NCT00861757,Adverse Event,llogis,shape,-6.575e-02,2.541e-01
NCT00861757,Adverse Event,llogis,scale,8.346e+00,1.038e+00
NCT00861757,Voluntary Withdrawal,llogis,shape,-2.808e-02,2.730e-01
NCT00861757,Voluntary Withdrawal,llogis,scale,8.350e+00,1.112e+00
NCT00915772,Adverse Event,llogis,shape,-1.034e-01,1.616e-01
NCT00915772,Adverse Event,llogis,scale,8.845e+00,5.194e-01
NCT00915772,Lack of Efficacy,llogis,shape,7.354e-01,1.854e-01
NCT00915772,Lack of Efficacy,llogis,scale,7.313e+00,2.778e-01
NCT00915772,Other/Miscellaneous,llogis,shape,-2.040e-01,2.296e-01
NCT00915772,Other/Miscellaneous,llogis,scale,1.003e+01,1.001e+00
NCT00915772,Voluntary Withdrawal,llogis,shape,-4.437e-01,2.372e-01
NCT00915772,Voluntary Withdrawal,llogis,scale,1.125e+01,1.338e+00
NCT00926289,Adverse Event,llogis,shape,-2.886e-01,2.207e-01
NCT00926289,Adverse Event,llogis,scale,8.887e+00,1.151e+00
NCT00926289,Protocol Violation,llogis,shape,-8.469e-02,2.205e-01
NCT00926289,Protocol Violation,llogis,scale,7.962e+00,9.371e-01
NCT00954447,Adverse Event,llogis,shape,-3.064e-01,1.411e-01
NCT00954447,Adverse Event,llogis,scale,1.047e+01,6.517e-01
NCT00954447,Lack of Efficacy,llogis,shape,-1.054e-01,2.270e-01
NCT00954447,Lack of Efficacy,llogis,scale,1.076e+01,1.088e+00
NCT00954447,Lost to Follow-up,llogis,shape,-6.016e-01,2.188e-01
NCT00954447,Lost to Follow-up,llogis,scale,1.356e+01,1.691e+00
NCT00954447,Other/Miscellaneous,llogis,shape,-4.119e-02,1.644e-01
NCT00954447,Other/Miscellaneous,llogis,scale,9.799e+00,6.331e-01
NCT00954447,Voluntary Withdrawal,llogis,shape,-1.077e-01,1.539e-01
NCT00954447,Voluntary Withdrawal,llogis,scale,9.898e+00,6.116e-01
NCT00970632,Protocol Violation,llogis,shape,5.751e-01,2.111e-01
NCT00970632,Protocol Violation,llogis,scale,6.211e+00,3.927e-01
NCT00970632,Voluntary Withdrawal,llogis,shape,1.919e-01,2.443e-01
NCT00970632,Voluntary Withdrawal,llogis,scale,7.264e+00,7.219e-01
NCT00975195,Adverse Event,llogis,shape,-6.481e-02,6.669e-02
NCT00975195,Adverse Event,llogis,scale,8.377e+00,1.879e-01
NCT00975195,Lack of Efficacy,llogis,shape,-3.691e-01,2.818e-01
NCT00975195,Lack of Efficacy,llogis,scale,1.347e+01,2.197e+00
NCT00975195,Lost to Follow-up,llogis,shape,-1.580e-01,2.432e-01
NCT00975195,Lost to Follow-up,llogis,scale,1.168e+01,1.452e+00
NCT00975195,Other/Miscellaneous,llogis,shape,-1.633e-01,1.233e-01
NCT00975195,Other/Miscellaneous,llogis,scale,1.011e+01,5.489e-01
NCT00975195,Protocol Violation,llogis,shape,-1.883e-01,1.374e-01
NCT00975195,Protocol Violation,llogis,scale,1.048e+01,6.619e-01
NCT00975195,Voluntary Withdrawal,llogis,shape,-3.785e-01,9.306e-02
NCT00975195,Voluntary Withdrawal,llogis,scale,1.029e+01,4.419e-01
NCT00996658,Other/Miscellaneous,llogis,shape,3.323e-01,2.513e-01
NCT00996658,Other/Miscellaneous,llogis,scale,7.145e+00,5.473e-01
